word,胸腔积液,肺部感染,颅内感染,脑水肿,高血压病3级（极高危）,面肌痉挛,电解质紊乱,三叉神经痛,颅内动脉瘤破裂伴蛛网膜下腔出血,肺气肿,低蛋白血症,重症肺炎,心包积液,脑室出血,创伤性蛛网膜下腔出血,肝囊肿,脑内出血,额叶恶性肿瘤,低钾血症,小脑出血,基底节出血,脑积水,手术后颅骨缺失,肺不张,脂肪肝,筛窦炎,低钙血症,肺结节病,脑动脉瘤破裂伴蛛网膜下腔出血,颅骨骨折,腔隙性脑梗死,锁骨下动脉斑块,呼吸衰竭,颈总动脉斑块,2型糖尿病,下肢静脉血栓形成,轻度贫血,鼻中隔偏曲,主动脉硬化,前列腺增生,胆囊结石,单纯性肾囊肿,高血压,上颌窦炎,小脑梗死,高血压病1级（低危）,小脑良性肿瘤,颈内动脉斑块,脑梗死,创伤性慢性硬膜下血肿,高血压病2级（极高危）,肺部阴影,颅骨缺损修补,气管造口状态,额叶出血,脑脓肿,手术后颅内积气,听神经良性肿瘤,腹腔积液,硬脑膜下积液,二尖瓣反流,脑疝,慢性硬膜下血肿,垂体瘤,偏侧肢体无力,梗阻性脑积水,贫血,丘脑出血,低钠血症,肢体无力,脑肿瘤卒中,闭合性颅脑损伤特重型,硬膜下血肿,高血压病2级（高危）,额叶良性肿瘤,脑部手术后皮下积液,多发性大脑挫裂伤,手术后切口愈合不良,高血压病1级（中危）,局灶性大脑挫伤伴出血,颈内动脉狭窄,颞叶恶性肿瘤,小脑恶性肿瘤,脑挫伤,肺恶性肿瘤,额叶脑膜瘤,视物模糊,小脑幕下良性肿瘤,虹膜后粘连,肺水肿,高血压2级,外展神经损伤,中央型房间隔缺损(卵圆孔型),脑室腹腔分流管置入感染,枕叶出血,脑实质出血继发蛛网膜下腔出血,颞骨骨折,颞叶出血,主动脉瓣钙化,癫痫,肝脓肿,脑萎缩,顶叶出血,脓毒性休克,闭合性颅脑损伤重型,创伤性脑出血,头晕,创伤性脑脊液漏,创伤性颅内血肿,基底动脉蛛网膜下腔出血,颅内积气[气颅症],肝钙化灶,蛛网膜粘连,脑脊液漏,高血压3级,甲状腺结节,高血压病3级（高危）
胸腔积液,1.0,0.7661267891293021,0.32211339294566266,0.7044517809064442,0.4527432201491369,-0.0030077879910026663,0.46202672476746903,0.020842460982418206,0.18244860996338014,0.4523400151385393,0.5717091653791888,0.5777921126274012,0.7203126230734113,0.5124116106453342,0.19208829360471397,0.22318190403004587,0.281997285849289,0.4949766159794968,0.3839600950610853,0.4777165685744649,0.42651110752777566,0.3253325369973215,0.3776604616880144,0.4039476358513686,0.0801336210816611,0.35052660596718876,0.4933100341967949,0.34806473802625854,0.4126329185247553,-0.009666392045891141,0.4259823391168331,0.228098318493243,0.4560167069233284,0.5341839757426841,0.3416046324509614,0.5906748962387852,-0.006080482457225614,-0.013505050188653615,0.2199577886536629,0.517183686439165,0.07298454114208064,0.2766624094023731,0.2972563074442261,0.42086280703270806,0.42003676633213716,0.28056183780910326,0.2507639527698337,0.1746623064874777,0.3925838512513645,0.14087920220424868,0.5297607672006478,0.44824320697594094,0.00934682909694688,0.3230530326952162,0.33548513292160775,0.2970812077714216,0.20999410947472555,0.42337040735406545,0.49770022394977076,0.42367622243190045,-0.004160530491552978,0.5760100478988515,0.30202035466389454,0.21965620853542644,0.32626732042268297,0.15034091970969332,0.3184280781684974,0.38240282514016494,0.5087725748301972,0.26544313598245145,0.27695585470349865,-0.055808723635694106,-0.055808723635694106,0.30132893725209675,0.05095435659952103,0.3581253325498443,0.11088877945655357,0.2350472755121635,0.20001562892475633,0.17117444380721739,0.4911286111908988,0.015588578586802659,0.08250517120388733,0.21098895350280653,-0.016983631465201328,0.11352797212513178,-0.04184000286273584,0.18895541527470827,0.10649832341759553,0.2024953243841377,-0.0495625852875182,0.15556774766450027,0.31087860469701506,-0.016267382185960112,0.5576975188071381,0.24402688424557656,0.23927563147413058,0.0357262713268419,-0.0709868062677139,0.4417253562565613,0.3664507696147249,0.09722484530553574,0.054997429196877994,0.000747627840854986,-0.04937395518141213,-0.06151243169517254,0.07805086286399042,0.08044071349780635,0.26597215178884026,0.5734364271535198,0.0758142505503435,0.11768654084136161,-0.027928603012277498,0.03186712979079259,-0.07193095239858685,0.03186712979079256,-0.04486965848897886
肺部感染,0.7661267891293021,1.0,0.3891089205594094,0.5263188182730777,0.6035573806170074,0.014465349094794227,0.6153600933251979,0.10013019945182644,0.2761894897173146,0.3309834619871228,0.6615148540506837,0.2511161178634122,0.6092833101285225,0.4961382649817547,0.24777730948920715,0.3518853664136635,0.30222050310441145,0.37285404949056417,0.541827346600121,0.45644244871008455,0.44528470566116546,0.42987634554772763,0.21219034117460367,0.3150289600841229,0.14342921312895826,0.3846973587073518,0.5463212142586936,0.23888801345733035,0.37233324119647965,0.07899559985867284,0.7096041475928129,0.21387770256169758,0.4574093097917983,0.41706814015322125,0.2723552912072155,0.6677049212817875,0.11098844049201624,-0.004023439701395807,0.21790293648356301,0.4141491547340155,0.012662137685890083,0.22820896208397196,0.47891948554139024,0.36225846878041557,0.26503325133764644,0.270416974128601,0.23998292142544425,0.03764701436798244,0.13896422651077237,0.1740275851956081,0.3059203057159116,0.3347977556657348,-0.00042489242743100743,0.361040575610969,0.3755622784530213,0.2026504811193586,0.24696046457560716,0.31766448012702503,0.296472918551567,0.2684191674489054,-0.028030639984970657,0.3569822316927913,0.4492803035691725,0.22148781965610856,0.46222475328922497,0.26736401409964794,0.2881694531939547,0.613418459427042,0.529754961711795,0.2724822211189269,0.2851514862824769,-0.05747966080184918,-0.05747966080184918,0.45154365711165767,0.193945157603492,0.30981144629730684,0.3343564781072392,0.13555483833565665,0.07467744171235542,0.18034081411827804,0.38604395356438853,0.17348385603486388,0.07732453467095116,0.22785560016752354,-0.0002990548162006974,0.297447717999477,-0.042725950715002445,0.3432691571119705,0.016018924782346435,0.05227077602295044,-0.07996874629731264,0.34268617095851084,0.3076162911491618,0.005134908470185084,0.25175398840179947,0.12483702065666792,0.2518100021920216,0.05273856374938699,-0.06550762834246628,0.621398562643682,0.2670940976498256,0.2352298583317176,0.017793761563943,0.02529140571179202,-0.010672092999775786,-0.026838794578656056,0.017195651931541503,0.2572536102051235,0.3071273767129205,0.45588351107749847,0.05306670939951172,0.07052073077727837,-0.00030536996164542713,0.0946257866927147,-0.06539314726452734,0.20248291547885164,-0.008028542750479614
颅内感染,0.32211339294566266,0.3891089205594094,1.0,0.2909243265344415,0.18742108005643182,0.48659400629365923,0.27056656032799475,0.42919727043111605,0.017164217308414356,0.10831779533881941,0.45229650881844125,0.13921070006535122,0.3277470605002189,0.19364630947251235,0.2932997712976865,0.12703915515268918,0.4464621918533279,0.20167900463932698,0.39488914150279947,0.20113467432914592,0.16970035528882563,0.4894298743354073,0.15858365984576275,0.1468268045698904,-0.0051065900837044586,0.18288342712122854,0.2914890664161409,0.16711956396768138,0.05571897157540366,0.24716751139416568,0.2472920638372228,0.19045931519406345,0.23465448736866537,0.3441471799596116,0.011959137984690773,0.29125883842159317,-0.06333607752606471,0.018688244834178813,0.15815490491385908,0.0712670115579458,-0.004643247631283691,-0.02813390650233875,0.22002936958209313,0.07919778766417564,0.05948719810047553,0.21638836669339875,0.2207658586497362,-0.02556550004183637,0.012079542016979378,0.19907410224279867,0.048546881352785835,0.21970206473972895,0.17919098940702385,0.0335699823139259,0.24717340337848975,0.015110618699211504,0.469975815130989,0.25631487003397,0.023158945585409173,0.03209477321328035,-0.03625157673891767,0.2652240520089675,0.2656800608748408,0.019015204585256865,0.04506892112987805,0.052376054123725056,0.050689392177868914,0.11516359800059399,0.47269565528646523,0.024812755185322725,0.0234299423821607,0.006813342559887678,0.006813342559887678,0.06802441824198124,0.01936501284110384,0.3102034665396329,0.43310578825692414,0.44655515027073356,0.004027127067173084,0.014748277531103724,0.2701220859971,-0.02038422404326721,0.5304950997898785,0.251543575963044,0.37123353279164933,0.04108394717457649,-0.03602629358109134,0.06086510692529858,-0.023030975099988322,-0.015116590176564576,-0.01080498229739939,0.6798396204567353,0.025391760546267895,0.5036611877476873,0.062109468334146004,0.47203848230817985,0.027820652182464017,0.27871885994973106,-0.066990890243876,0.10345389775357682,0.03334173669290492,0.25332049902620446,0.30622409254221994,0.24808432166630962,0.25533326385315985,0.23553720396339164,0.008714402178207807,0.3142563247423506,0.2949295729122628,0.07650679350177614,0.40703540256293336,-0.012991133302741594,0.3651913353867072,0.31160741286918614,-0.016200163641919473,-0.025282548711495823,-0.028150111952950623
脑水肿,0.7044517809064442,0.5263188182730777,0.2909243265344415,1.0,0.45263611349994937,0.06479903118714128,0.35191632832905906,0.019038104021422024,0.22115396256477193,0.36969786639640856,0.5323691141647298,0.7183194524293165,0.272035347031578,0.6585856150047315,0.10149912751398009,0.1920507294968977,0.3236769260435059,0.4571036830814886,0.43406318789118925,0.6302586565629317,0.45720459397490015,0.21959164666041445,0.39419965006043356,0.3593940779571693,0.27633931637208486,0.2407245617483417,0.4500965610651456,0.3743996255794558,0.2916775938201248,-0.03552244423356366,0.43743000710913665,0.24888377782072849,0.36288985465093077,0.45556786591934767,0.1434371099379924,0.3598038947146662,-0.01035413981480439,-0.013181303751911257,0.2290436832369709,0.33450842365601163,0.33240257180723737,0.13071729742413515,0.12416938948750636,0.2874171317306708,0.4674336090329946,0.12746778481173307,0.07124873629901732,0.23396495974169448,0.44617505906336036,0.005058526082008536,0.4677752688075205,0.46052476725020997,-0.019823761450629585,0.2956201790627329,0.44833088135491644,0.4923728896841411,0.09263261532878894,0.12756176447900902,0.43968823695230846,0.3109828291714053,0.12898011327785164,0.6097020373019938,0.153411642721095,0.062316445606315586,0.2788735914802927,0.3118141570157469,0.32629584343059215,0.16888626848212884,0.5309317844796737,0.08856413748242249,0.10341840758614253,-0.050370352044223264,-0.050370352044223264,0.10294056547972888,0.02627041514728397,0.1580322964496103,0.04157110655197963,0.12882800975538503,0.07361002961069697,0.013439307742756553,0.2237313102751854,-0.012718657650587741,0.24331176616926145,0.04713492820972857,-0.010922122471323691,0.05845734971183366,-0.04041851131154887,0.3397988923675097,0.35167719360697575,0.03803576247949815,-0.031873549989285904,0.10458384256364245,0.13592203705535308,0.011138425600290538,0.6289331516207409,0.13545792126651468,0.05154515270175457,0.015445686029017417,-0.05942925453667344,0.2112105218354193,0.49075544595893067,0.05521688885336008,0.24538685068834068,-0.002828218957391236,-0.060650350906953095,-0.08617483312312631,0.30021590549438604,0.022833073282617713,0.07862642485162148,0.24256542447884477,0.29129172984066853,0.33922587941229454,-0.022499491352712307,0.0648219493653487,-0.06691603720433818,-0.007715258585461252,-0.03855697534184769
高血压病3级（极高危）,0.4527432201491369,0.6035573806170074,0.18742108005643182,0.45263611349994937,1.0,0.05916742964835256,0.39779506878244525,0.17842390843343697,0.3504779477840363,0.20989078783420484,0.2961754776857711,0.2913838067613372,0.36229000575306697,0.5467610148219337,0.013860320986574448,0.41790333683433806,0.2674060565159223,0.15071909596747463,0.27591000223400836,0.5764757656638116,0.5825355487888352,0.33884915070079813,0.07772577542054962,0.2076370358132295,0.3590239890729058,0.37895234451298615,0.3320578276665289,0.24623232732845238,0.2605688937013719,-0.05432901644849244,0.5991938872774621,0.37876382681806536,0.31680738147742965,0.30417266897267636,0.3827381115324415,0.23269404571659497,0.19921237932358427,0.15340296614605228,0.22368856906717782,0.3069639048170341,0.19528846188120888,0.37985308935418155,0.19943537792950428,0.6002167224018877,0.14572664833705137,0.12669161707494617,0.07595081196211075,0.21990863451118342,0.06177776110936606,-0.01586617840519276,0.1366548888993154,0.28532679554980744,-0.013508471306848666,0.13827183050406577,0.17005855878254145,0.10530464968123726,0.08169789016776088,0.12621590217534323,0.25617145461192353,0.11895365583539896,-0.02810980008715866,0.14824041512188654,0.31063068220536366,0.07960803541654375,0.18300516292803615,0.1473252417374103,0.09327961848495413,0.5621976353173015,0.22229474501481983,0.09305894247559665,0.09345199910175185,-0.07476643518747143,-0.07476643518747143,0.16318616207904424,0.035039568532605134,0.11788623912476619,0.06100809915093144,0.2605216086251276,0.012945882641647739,-0.008706619991380699,0.35301772597312453,0.05988580803754335,0.040068215855902006,0.01591627529533198,-0.03268291025942752,0.08084612254789643,-0.03709031875335708,0.16739903021682098,0.01953753472693334,-0.03943929182106858,-0.02971724933161612,0.11124358603300312,0.07751317475613163,-0.007764762627123111,0.32783911326263293,0.09083374346802743,0.02608497576896389,0.2598536906110317,-0.06483763490534432,0.45266484741516977,0.1206003464710099,0.046571828525803056,0.03126665081485237,-0.04476951405971847,-0.0736626208687051,-0.0940172043487151,0.023967467523580203,0.0245542069562351,0.03554632387242613,0.3999696284574452,0.043752019261214574,0.34622551391072126,0.007119589506112241,0.24890480622138195,-0.018227360305481843,0.05373183118429833,0.031387318165653974
面肌痉挛,-0.0030077879910026663,0.014465349094794227,0.48659400629365923,0.06479903118714128,0.05916742964835256,1.0,0.008364602650702158,0.21953221050667882,-0.031237117345594603,-0.013010401296253759,0.06325707058927961,-0.0119326784682416,0.011301462540052171,0.015570818215069875,4.0947685497956813e-17,-0.00997242219354771,0.08571372079314617,-0.0031692332272987766,0.16393103736913253,0.018889014138868294,0.01597081099875685,0.09351923425734278,-0.01610077540999736,-0.018229469459013544,0.12840921474481817,0.016353178040280705,0.29253505950242203,0.15029451698719976,-0.037663904902747736,0.0053385177719872615,0.02099916586508592,0.03212207843292551,-0.009539764072223563,0.04835349874588006,-0.05092871036819922,-0.015629888938771246,-0.034432405017307044,0.37540102698994454,0.01426932629155132,-0.04080603251918981,0.1638379863269526,-0.022700830283499597,0.0054240714351641624,-0.008396727515803983,-0.04685869517828008,0.028299513551869597,0.025507802576588155,-0.01624958564084916,-0.018705984800478352,-0.0030884119148985472,-0.04928896421467457,0.027250907563500095,0.03834651434522756,-0.06621295736134745,0.008711195962047644,-0.024644482107337273,0.3499569310279548,0.01999753891588321,-0.04244567165854329,-0.02894347638579358,-0.027358396993123542,0.00805806864148981,0.04771025263580391,-0.0451966858832972,-0.05058586385823343,0.008578714819486525,-0.041445856067897115,-0.028943476385793546,0.10779132297196142,-0.052833307211941294,-0.042761924015838976,-0.048358383677826196,-0.048358383677826196,-0.058720152904730996,-0.017361489493791127,0.03949894198268139,0.06723605077325293,0.32440458318282134,-0.03919945941302882,-0.05931718326623524,0.03355909481201595,-0.04340372373447783,0.17884900899878603,0.006571861895289914,0.12617674463292258,-0.019439829648023852,-0.018049428702970334,-0.019439829648023835,-0.007005628319329786,-0.05038036509482457,0.3251632592816956,0.22433530246959268,-0.060352936003820995,0.1490829996972318,-0.020991818789510168,0.1106534502241644,-0.059237962596839756,0.06035293600382098,-0.04294609084852582,-0.03073706950671233,-0.030290729932843916,0.03905088227922801,0.06754166918585863,0.017681707880847077,0.03431485927794599,0.031136788110631187,-0.00742216144899544,0.03431485927794597,0.0332394238751279,-0.03189736447522127,0.48599574120059574,-0.015088234000955159,0.13338855822516313,0.1076672584885264,-0.013797874781492109,-0.053833629244263236,-0.03887965929604769
电解质紊乱,0.46202672476746903,0.6153600933251979,0.27056656032799475,0.35191632832905906,0.39779506878244525,0.008364602650702158,1.0,0.12196420165631883,0.17212481447006384,0.18548050393189172,0.7588876365159042,0.3320986346480092,0.2430802109856042,0.33467006868432736,0.3168723079464102,0.13878389122986198,0.24685024809119513,0.45354994476053084,0.41262322572284343,0.32892420449560966,0.2006103065392694,0.3247245221835014,0.07409629649109566,0.14263425988998005,0.030370419357918725,0.3170557909888961,0.5400132035275635,0.084327438584001,0.15360071829392744,0.18241395891758044,0.5780320153224809,0.08687420088295884,0.7076277680990355,0.14563147690848327,0.29597551392859095,0.5829915037282501,-0.010241091369762817,0.17515658466661652,0.04990234580201535,0.1601771877177079,-0.0032043569114913184,0.0747410374274228,0.1680791494591425,0.16215707470206303,0.10809272277194852,0.10325518318312406,0.06210493872653651,0.01600525904321629,0.23108537406304375,0.08271437548463674,0.09773211906821315,0.12641485748750786,-0.047955093986326226,0.38387660818842223,0.1812450033469401,0.04454766357527863,0.1255951376626578,0.10401711841665068,0.09622901131678015,0.2904214918009588,-0.05363455753321884,0.2621855199956826,0.24288458787742334,0.06721334009469702,0.16037608978905238,0.1928483906814878,0.42514070916393837,0.39319012630773204,0.3720444026474627,0.07747366211640502,0.08281818261120999,-0.014182345475827368,-0.014182345475827368,0.3502727506090787,0.0528384519783636,0.1351476617450303,0.38109872183971033,0.03342590367798234,0.03185872356581591,0.06091599976099409,0.1662010210655233,0.010687777786532682,0.04010736002029334,0.13982511546689466,-0.011910467518271678,0.11025968169737932,-0.03645496946942668,0.15221214595296756,-0.031012551138671348,0.02509020640089233,-0.047019259587806075,0.1546668487352924,0.1385947926406168,-0.029006367221687108,0.15309672239062982,0.010205026192650802,0.08686531547762934,-0.024212343292637807,-0.08673950053923807,0.27170882237932503,0.07835952022381254,0.07725156932503176,-0.03133685074634928,0.3633601450805897,0.04011246526174947,0.018214107905053647,-0.01191046751827169,0.4011246526174947,0.14241480790306765,0.1753695991718178,0.005378521058408796,0.040910511080664166,0.01727840067216395,0.10038850210622288,-0.04733738934823799,0.013256048497705978,-0.03657394319717945
三叉神经痛,0.020842460982418206,0.10013019945182644,0.42919727043111605,0.019038104021422024,0.17842390843343697,0.21953221050667882,0.12196420165631883,1.0,-0.020489585900765,-0.017353839178326478,0.06482087373969111,-0.019373265086233427,0.04047915019656785,0.023458237870199794,0.009281616756109395,0.022676003744549745,0.07568455759417773,-0.013623831416814738,0.06489255394823465,0.14956948476239007,0.020623001031982457,0.11227542755747567,-0.03117732699795227,-0.012465696290855297,-0.005293836424653015,0.01492829301317149,0.054186040021411454,-0.002567896767915007,-0.01700354773525809,0.009215084638076857,0.08357887459440493,0.2540456947813958,0.04188018649943346,0.23388659311176127,-0.009213708609505194,0.021865285883322812,-0.019430839814116228,0.0072775231478682655,0.023967861021220727,0.16009258216562924,-0.036101282415851144,-0.013564054900095369,0.029528714483142173,0.013657821487325184,-0.03227628815934512,0.022310940413501987,0.04487704047498433,0.006688662277981422,-0.05743777418012124,-0.00020504090351971483,-0.027269283897915338,0.026534913730292826,0.05944537427287613,-0.04485820982011166,-0.002313359150285935,-0.03790430461810233,0.5423428251966596,0.02456142537610339,-0.01873131295709912,-0.02177778183209797,-0.04151622696449551,-0.014444416888312852,0.10090758837072644,-0.018753912943299256,-0.03802911957095301,-0.02591426617216503,-0.034395087222317836,0.03843137970370236,0.05975518088394168,-0.04033768081121462,-0.0269703219296801,-0.05136851925339721,-0.05136851925339721,-0.016763354181410586,-0.02924814454970322,0.04632819344208018,0.08937801723876035,0.16041612531099447,-0.04163948487187001,-0.04945779676289207,0.07352405743420579,-0.029248144549703228,0.14779827654362665,0.010253250745616156,0.11259572173308406,-0.016132725916806104,-0.01917294076696959,-0.016132725916806066,-0.05209192451939907,-0.05351636174625366,-0.021791376693553646,0.22682718630034734,-0.04457626837700267,0.13058552049340902,-0.02982422243150594,0.11264367855165257,-0.04522756861599449,0.07262425746815045,-0.04561933064818702,0.030609695258601317,-0.02425785260626362,0.046342791300053046,0.04018460003209193,0.023184439390318393,0.024063247159867556,0.020228870323908906,-0.03153665729066679,0.05738158938122264,0.040037269955157315,-0.009832080133911746,0.10970253623428164,-0.005509426428618209,0.7919831216431823,0.11008031491643311,0.36527351432879285,-0.036276467415642694,-0.04129977834702362
颅内动脉瘤破裂伴蛛网膜下腔出血,0.18244860996338014,0.2761894897173146,0.017164217308414356,0.22115396256477193,0.3504779477840363,-0.031237117345594603,0.17212481447006384,-0.020489585900765,1.0,0.2841837219807625,0.08629655982527663,0.1543343616903979,0.2015914596940593,0.2383627878086841,-0.03953339752863811,0.24646649226767087,0.17751003737610427,0.05380723545697586,0.17439168478092745,0.13739723821137445,0.2642877798510675,0.187584567395114,0.17531880936702018,0.04857973057023847,0.2287847154622255,0.24162076489054665,0.08298722471407932,0.4265500019686923,0.11332161822696762,-0.06424925662032353,0.15253802937676017,0.03451699898874286,0.0758575384111,0.08016467038229622,0.07004901620463953,0.07965725333226015,0.029599660971978678,0.021944401858824084,0.2637310764902247,0.07783091216838747,0.030354004882223437,0.20490399198896614,0.46744353807603894,0.32121029010185775,0.044058289854356114,0.2858486961639183,-0.00313252384543683,-0.011175106139986561,0.008040257541737693,-0.04513396827223508,0.21538609344536305,0.10151318329819031,0.23899195308644966,0.25484488079944395,0.041186970777704855,0.07768023042291786,-0.021488492159005626,0.042976984318011384,0.09765967263142157,0.0331748377897445,-0.03695767746603148,0.04156249319624461,0.038084338054238526,0.038853126249246105,0.06650786033247345,0.053466236623822654,0.017814371196065805,0.2114895909096208,0.0810795321246501,0.5694707575089752,0.01838004712046882,-0.045728171977146126,-0.045728171977146126,0.27763182372274836,0.05969890313807369,0.062250991952527986,-0.010508939349866254,-6.365711965738018e-17,-0.02948543297473315,-0.03449441766287539,0.05769784762132448,0.009327953615324045,-0.002022983424785248,-0.018360781736326087,-0.05104341969935067,0.0835568074093717,-0.031032219217756122,0.05848976518656021,0.07829063638067438,-0.06496387889700492,-0.05010355971864065,0.018242456549782845,-0.006485265999712647,-0.05374389768420332,0.11007768368659171,-0.015853789525538824,-0.01371021242767702,0.032426329998563305,-0.05010355971864062,0.13872065834846503,0.07974532179717168,-0.014686837386151147,0.0022331496118466274,-0.06080000028061532,-0.07927752326980599,-0.08985929607025883,0.006380427462418827,-0.029498613309695235,-0.022451094394208317,0.16256394735674198,-0.016711361481874323,0.4215422899813231,-0.052121304427950946,-0.009255567095707897,-0.05930640271289431,-0.009255567095707934,0.3592942718602981
肺气肿,0.4523400151385393,0.3309834619871228,0.10831779533881941,0.36969786639640856,0.20989078783420484,-0.013010401296253759,0.18548050393189172,-0.017353839178326478,0.2841837219807625,1.0,0.14994862511722395,0.1716924920740267,0.29750576115656746,0.2568237287304035,-0.03442857388801078,0.19881684889691467,0.06023760738254845,0.24499896584995828,0.20509862882456578,0.25834723988893316,0.12996111105715377,0.07610047849320008,0.08952943499492275,0.07417037572670192,0.04129115492349904,0.22788681074228073,0.14997018157819852,0.6079073158804268,0.27890299777179306,-0.10208807164424012,0.12474161123928526,0.05554551757723921,0.1028584458261504,0.3625567741360754,0.054911714343708506,0.15353274204224787,-0.028019075629706524,0.15518352548415426,0.30422241221577967,0.35592210264934426,-0.028733138506709405,0.07389042737511967,0.11365513948052418,0.1469044546428169,0.0977103368568,0.3252773867406139,0.08302702633543113,0.01057836927263135,0.28921487329150186,-0.03644094802986161,0.4177966025471706,0.524812910132577,-0.015602074340065764,0.06735028598211552,0.06734228278418704,0.5280949056196244,0.04475027307209188,0.10577337271585349,0.5384145753798733,0.32188425981024427,-0.03657437327189928,0.17704398323927978,0.07626105687917364,0.2804354318254845,0.08959183233735436,0.04363034966844065,0.10961018752951122,0.176643801115378,0.1600785406373289,0.08598530540023726,0.08699287651191659,-0.09837805469283396,-0.09837805469283396,0.08123113931419043,0.27725736572656445,0.0696408414687083,-0.0236259655452744,0.2730842690569362,0.02791094726645007,-0.018455737332789164,0.3823179766797107,-0.008829852411674007,0.01914958608153023,-0.006684745640754789,-0.03321846283433329,0.39547488540432374,-0.036718921292843376,0.06327598166469188,0.5415731725203026,0.02049829599667216,-0.06490159890056811,0.049338091137876364,0.0429727256294305,-0.05478742760404366,0.43388059859622646,0.2701299013786965,0.012978104015248387,-0.04911168643363478,-0.04243566081960222,0.1500721674326093,0.4791114948786615,-0.003972165259144954,-0.021139021803666582,-0.12050233776327972,-0.09773198325730692,-0.1103982161373521,0.02113902180366671,-0.03490427973475245,0.021252233679180433,0.4968759822980811,0.015818995416172994,0.3744766090564654,-0.039470472910301035,-0.030664659349844962,-0.07017439255940841,-0.030664659349844976,0.01581899541617296
